utgdag;kaupverd;nuvirdi;ist120;ibm2;ib2m2;ib3m2;rism2;bilskurm2;geymm2;two_livunits;two_storey;storeys_3;age_studull;not_concrete;stud1house;bath_fixtures;fjbilsk;lodpflm;landratio;innig_factor;utig_factor;fjarmalastofnunselur;hverfi;gata
04/11/2016;33500;33473;1111;122.4;0;0;0;47;30;0;0;0;40;0;1.087;2;0;780;1.054;1.04;1;0;2010;0
19/07/2017;40000;39932;1111;122.4;0;0;0;47;30;0;0;0;41;0;1.087;2;0;780;1.054;1.04;1;0;2010;0
21/12/2017;39500;39500;1111;170.1;0;0;0;56.7;0;0;0;0;16;1;1;3;0;858;1.159;1;1;1;2010;0
27/07/2014;24900;24737;1111;170.4;0;0;0;50.3;0;0;0;0;14;1;1;4;0;1020;1.378;1;1;1;2010;0
06/07/2016;32000;32000;1111;149.4;0;0;0;46.3;0;0;0;0;15;1;1;4;0;945;1.277;1;1;1;2010;0
02/05/2014;38870;38273;1111;149;0;0;0;61.5;0;0;0;0;13;1;1;3;0;900;1.216;1;1;0;2010;0
05/10/2019;51000;50975;1111;145.2;0;0;0;57.8;0;0;0;0;16;0;1.074;3;0;900;1.216;1;1;0;2010;0
29/03/2015;29600;29512;1111;129.5;0;0;0;49.4;0;0;0;0;14;1;1;4;0;900;1.216;1;1;0;2010;0
12/01/2018;51900;51673;1111;164.2;0;0;0;37.3;0;0;0;0;15;1;1.166;3;0;935;1.264;1;1;0;2010;0
01/05/2015;21000;20956;1111;120;0;0;0;32.6;0;0;0;0;35;1;1.05;3;0;772;1.043;0.89;0.96;1;2010;0
13/06/2014;23000;22946;1111;108.8;0;0;0;33.1;0;0;0;0;40;0;1.035;3;0;870;1.176;1;0.96;0;2010;0
06/05/2018;47000;46880;1111;231;0;0;0;60.5;0;0;0;0;42;1;1.303;4;0;780;1.054;1.01;1;0;2010;0
09/06/2016;38500;38456;1111;151.1;0;0;0;30.6;8.4;0;0;0;11;0;1.142;5;0;675;0.912;1;1;0;2010;0
08/05/2016;38250;37248;1111;151.1;0;0;0;30.6;8.4;0;0;0;11;0;1.135;3;0;648;0.876;1;1;0;2010;0
11/07/2018;45000;44949;1111;112.6;0;0;0;38.5;0;0;0;0;18;1;1.09;2;0;804;1.086;1;1;0;2010;0
14/05/2017;43300;43116;1111;125.7;0;0;0;26;0;0;0;0;12;1;1.031;3;0;850;1.149;1;1;0;2010;0
30/08/2018;39000;38527;1121_1123;110.8;0;0;0;31.1;11.8;0;0;0;12;0;1;3;0;681.8;0.921;1;1;0;2010;0
14/12/2017;44000;43824;1122_1125;132.2;0;0;0;31.4;6.9;0;0;0;12;0;1;3;0;609;0.823;1;1;0;2010;0
16/09/2017;43000;43000;1111;146;0;0;0;40.8;22.2;0;0;0;10;1;1.141;4;0;850;1.149;1;1;1;2010;0
